Year,Direction of flight,Overseas port,Value,Value Unit,Value Label,Null Reason
2002,Arrivals,Cairns,95,number,Number of flights,
2002,Arrivals,Denpasar,155,number,Number of flights,
2002,Arrivals,Dubai,0,number,Number of flights,
2002,Arrivals,Buenos Aires,169,number,Number of flights,
2002,Arrivals,Hong Kong,697,number,Number of flights,
2002,Arrivals,Honolulu,250,number,Number of flights,
2002,Arrivals,Osaka,548,number,Number of flights,
2002,Arrivals,Kuala Lumpur,240,number,Number of flights,
2002,Arrivals,Los Angeles,1740,number,Number of flights,
2002,Arrivals,London,365,number,Number of flights,
2002,Arrivals,Melbourne,3346,number,Number of flights,
2002,Arrivals,Nadi,951,number,Number of flights,
2002,Arrivals,Nagoya,169,number,Number of flights,
2002,Arrivals,Noumea,232,number,Number of flights,
2002,Arrivals,Tokyo,490,number,Number of flights,
2002,Arrivals,Coolangatta,506,number,Number of flights,
2002,Arrivals,Perth,212,number,Number of flights,
2002,Arrivals,Papeete,367,number,Number of flights,
2002,Arrivals,Rarotonga,367,number,Number of flights,
2002,Arrivals,Santiago,78,number,Number of flights,
2002,Arrivals,Seoul,396,number,Number of flights,
2002,Arrivals,San Francisco,2,number,Number of flights,
2002,Arrivals,Shanghai,0,number,Number of flights,
2002,Arrivals,Singapore,995,number,Number of flights,
2002,Arrivals,Sydney,6746,number,Number of flights,
2002,Arrivals,Tonga,406,number,Number of flights,
2002,Arrivals,Taipei,234,number,Number of flights,
2002,Arrivals,Port Vila,111,number,Number of flights,
2002,Arrivals,Vancouver,0,number,Number of flights,
2002,Arrivals,Total all overseas ports,22014,number,Number of flights,
2002,Departures,Adelaide,3,number,Number of flights,
2002,Departures,Apia,394,number,Number of flights,
2002,Departures,Beijing,1,number,Number of flights,
2002,Departures,Bangkok,586,number,Number of flights,
2002,Departures,Brisbane,2963,number,Number of flights,
2002,Departures,Bandar Seri Begawan,0,number,Number of flights,
2002,Departures,Guangzhou,0,number,Number of flights,
2002,Departures,Cairns,93,number,Number of flights,
2002,Departures,Denpasar,161,number,Number of flights,
2002,Departures,Dubai,0,number,Number of flights,
2002,Departures,Buenos Aires,167,number,Number of flights,
2002,Departures,Hong Kong,796,number,Number of flights,
2002,Departures,Honolulu,163,number,Number of flights,
2002,Departures,Osaka,372,number,Number of flights,
2002,Departures,Kuala Lumpur,281,number,Number of flights,
2002,Departures,Los Angeles,1932,number,Number of flights,
2002,Departures,London,374,number,Number of flights,
2002,Departures,Melbourne,3464,number,Number of flights,
2002,Departures,Nadi,1035,number,Number of flights,
2002,Departures,Nagoya,184,number,Number of flights,
2002,Departures,Noumea,234,number,Number of flights,
2002,Departures,Tokyo,371,number,Number of flights,
2002,Departures,Coolangatta,506,number,Number of flights,
2002,Departures,Perth,341,number,Number of flights,
2002,Departures,Papeete,424,number,Number of flights,
2002,Departures,Rarotonga,430,number,Number of flights,
2002,Departures,Santiago,79,number,Number of flights,
2002,Departures,Seoul,400,number,Number of flights,
2002,Departures,San Francisco,2,number,Number of flights,
2002,Departures,Shanghai,0,number,Number of flights,
2002,Departures,Singapore,1178,number,Number of flights,
2002,Departures,Sydney,6952,number,Number of flights,
2002,Departures,Tonga,369,number,Number of flights,
2002,Departures,Taipei,304,number,Number of flights,
2002,Departures,Port Vila,111,number,Number of flights,
2002,Departures,Vancouver,0,number,Number of flights,
2002,Departures,Total all overseas ports,22859,number,Number of flights,
2002,Total,Adelaide,4,number,Number of flights,
2002,Total,Apia,836,number,Number of flights,
2002,Total,Beijing,1,number,Number of flights,
2002,Total,Bangkok,1037,number,Number of flights,
2002,Total,Brisbane,5853,number,Number of flights,
2002,Total,Bandar Seri Begawan,0,number,Number of flights,
2002,Total,Guangzhou,0,number,Number of flights,
2002,Total,Cairns,188,number,Number of flights,
2002,Total,Denpasar,316,number,Number of flights,
2002,Total,Dubai,0,number,Number of flights,
2002,Total,Buenos Aires,336,number,Number of flights,
2002,Total,Hong Kong,1493,number,Number of flights,
2002,Total,Honolulu,413,number,Number of flights,
2002,Total,Osaka,920,number,Number of flights,
2002,Total,Kuala Lumpur,521,number,Number of flights,
2002,Total,Los Angeles,3672,number,Number of flights,
2002,Total,London,739,number,Number of flights,
2002,Total,Melbourne,6810,number,Number of flights,
2002,Total,Nadi,1986,number,Number of flights,
2002,Total,Nagoya,353,number,Number of flights,
2002,Total,Noumea,466,number,Number of flights,
2002,Total,Tokyo,861,number,Number of flights,
2002,Total,Coolangatta,1012,number,Number of flights,
2002,Total,Perth,553,number,Number of flights,
2002,Total,Papeete,791,number,Number of flights,
2002,Total,Rarotonga,797,number,Number of flights,
2002,Total,Santiago,157,number,Number of flights,
2002,Total,Seoul,796,number,Number of flights,
2002,Total,San Francisco,4,number,Number of flights,
2002,Total,Shanghai,0,number,Number of flights,
2002,Total,Singapore,2173,number,Number of flights,
2002,Total,Sydney,13698,number,Number of flights,
2002,Total,Tonga,775,number,Number of flights,
2002,Total,Taipei,538,number,Number of flights,
2002,Total,Port Vila,222,number,Number of flights,
2002,Total,Vancouver,0,number,Number of flights,
2002,Total,Total all overseas ports,44873,number,Number of flights,
2003,Arrivals,Adelaide,6,number,Number of flights,
2003,Arrivals,Apia,599,number,Number of flights,
2003,Arrivals,Beijing,1,number,Number of flights,
2003,Arrivals,Bangkok,520,number,Number of flights,
2003,Arrivals,Brisbane,3207,number,Number of flights,
